"p_year","regio_pat","Swiss_based","commuters","share"
1998,"Northwestern Switzerland",573.842186979687,99.1726190476191,1.17282211259091
1998,"Ticino",81.2,7.16666666666667,1.08825944170772
1998,"Zürich",777.256060606061,29.5813492063492,1.03805869224523
1999,"Central Switzerland",278.665079365079,14.575,1.05230292949948
1999,"Eastern Switzerland",399.963528138528,25.5619047619048,1.06391058925016
1999,"Espace Mittelland",580.581916913496,4,1.00688963931441
1999,"Lake Geneva Region",450.334316560632,9.60833333333333,1.02133600078874
1999,"Northwestern Switzerland",632.309029287706,122.828246753247,1.19425350748448
1999,"Ticino",96.7039682539683,15.3333333333333,1.15855950495293
1999,"Zürich",723.602781940282,35.9333333333333,1.04965892093032
2000,"Central Switzerland",277.996825396825,19.7261904761905,1.07095833000263
2000,"Eastern Switzerland",431.611111111111,35.9166666666667,1.08321534302999
2000,"Espace Mittelland",590.881673881674,5.25,1.00888502763254
2000,"Lake Geneva Region",485.337026862027,14.8349206349206,1.03056622473426
2000,"Northwestern Switzerland",663.75335177894,113.884986679987,1.17157726793358
2000,"Ticino",115.916666666667,10,1.0862688713156
2000,"Zürich",788.379004329004,37.616341991342,1.04771352583566
2001,"Central Switzerland",283.441941391941,12.3595238095238,1.04360513390795
2001,"Eastern Switzerland",465.453052503053,22.3285714285714,1.0479716940484
2001,"Espace Mittelland",589.212703962704,6.55952380952381,1.01113269243078
2001,"Lake Geneva Region",503.743795093795,24.6873015873016,1.0490076539458
2001,"Northwestern Switzerland",711.369414735591,129.759015984016,1.18240735867488
2001,"Ticino",82.3444444444444,17.8666666666667,1.21697476723789
2001,"Zürich",752.578557553558,44.9011904761905,1.05966312755728
2002,"Central Switzerland",285.734956709957,10.5333333333333,1.03686399961215
2002,"Eastern Switzerland",431.277956254272,30.8484848484848,1.07152808160289
2002,"Espace Mittelland",581.736147186147,2.16666666666667,1.00372448347442
2002,"Lake Geneva Region",466.455913082683,48.177380952381,1.10328388943339
2002,"Northwestern Switzerland",660.307334332334,140.198917748918,1.21232373238846
2002,"Ticino",94.8369047619048,9.22619047619048,1.09728481227169
2002,"Zürich",705.730952380952,27.902380952381,1.03953685304328
2003,"Central Switzerland",341.185714285714,14.0845238095238,1.04128110650532
2003,"Eastern Switzerland",407.222727272727,35.7833333333333,1.08787165090952
